20160101;30;60;10;;Jan;42,41935484;61,61290323;26,4516129;;1 tot 31
20160102;57;60;50;;Feb;42,24137931;64,13793103;23,10344828;;32 tot 60
20160103;56;70;40;;Mar;36,58064516;58,70967742;16,12903226;;61 tot 91
20160104;33;60;20;;Apr;34,46666667;56,33333333;15;;92 tot 121
20160105;33;50;20;;May;34,58064516;52,90322581;13,87096774;;122 tot 152
20160106;31;40;30;;Jun;27,73333333;43;11,66666667;;153 tot 182
20160107;58;80;30;;Jul;29,03225806;47,41935484;10,32258065;;183 tot 213
20160108;43;70;20;;Aug;30,16129032;49,35483871;11,61290323;;214 tot 244
20160109;43;60;20;;Sep;25,46666667;42,33333333;10,33333333;;245 tot 274
20160110;54;70;40;;Oct;26,90322581;42,58064516;13,22580645;;275 tot 305
20160111;37;50;30;;Nov;32,56666667;51;15,66666667;;306 tot 335
20160112;49;70;30;;Dec;31;43,87096774;20;;336 tot 366
20160113;35;50;20;;;;;;;
20160114;52;70;40;;Jan;42,4;61,6;26,5;;
20160115;26;60;10;;Feb;42,2;64,1;23,1;;
20160116;37;70;20;;Mar;36,6;58,7;16,1;;
20160117;23;40;10;;Apr;34,5;56,3;15,0;;
20160118;21;30;10;;May;34,6;52,9;13,9;;
20160119;20;30;10;;Jun;27,7;43,0;11,7;;
20160120;15;30;0;;Jul;29,0;47,4;10,3;;
20160121;24;50;10;;Aug;30,2;49,4;11,6;;
20160122;44;60;30;;Sep;25,5;42,3;10,3;;
20160123;33;50;20;;Oct;26,9;42,6;13,2;;
20160124;44;50;40;;Nov;32,6;51,0;15,7;;
20160125;39;70;20;;Dec;31,0;43,9;20,0;;
20160126;64;90;30;;;;;;;
20160127;79;100;50;;;;;;;
20160128;45;60;30;;;;;;;
20160129;86;100;70;;;;;;;
20160130;61;100;30;;;;;;;
20160131;43;60;30;;;;;;;
20160201;83;110;60;;;;;;;
20160202;67;80;50;;;;;;;
20160203;41;70;30;;;;;;;
20160204;32;50;10;;;;;;;
20160205;43;60;20;;;;;;;
20160206;53;70;40;;;;;;;
20160207;68;90;50;;;;;;;
20160208;97;120;70;;;;;;;
20160209;50;90;20;;;;;;;
20160210;40;60;20;;;;;;;
20160211;28;40;10;;;;;;;
20160212;27;40;20;;;;;;;
20160213;42;60;20;;;;;;;
20160214;45;70;30;;;;;;;
20160215;41;70;10;;;;;;;
20160216;13;30;0;;;;;;;
20160217;23;40;10;;;;;;;
20160218;29;40;10;;;;;;;
20160219;34;70;10;;;;;;;
20160220;65;80;50;;;;;;;
20160221;75;100;20;;;;;;;
20160222;42;90;20;;;;;;;
20160223;26;50;10;;;;;;;
20160224;18;30;10;;;;;;;
20160225;23;40;10;;;;;;;
20160226;16;30;10;;;;;;;
20160227;40;60;20;;;;;;;
20160228;38;70;20;;;;;;;
20160229;26;50;10;;;;;;;
20160301;48;80;10;;;;;;;
20160302;50;70;30;;;;;;;
20160303;27;50;10;;;;;;;
20160304;37;80;10;;;;;;;
20160305;16;30;0;;;;;;;
20160306;18;50;10;;;;;;;
20160307;14;30;10;;;;;;;
20160308;28;40;10;;;;;;;
20160309;58;90;30;;;;;;;
20160310;30;40;20;;;;;;;
20160311;28;40;10;;;;;;;
20160312;25;40;10;;;;;;;
20160313;38;60;20;;;;;;;
20160314;41;70;10;;;;;;;
20160315;28;50;10;;;;;;;
20160316;50;80;30;;;;;;;
20160317;33;50;20;;;;;;;
20160318;26;30;10;;;;;;;
20160319;40;50;30;;;;;;;
20160320;27;40;20;;;;;;;
20160321;28;50;20;;;;;;;
20160322;28;40;20;;;;;;;
20160323;26;50;0;;;;;;;
20160324;33;60;10;;;;;;;
20160325;39;60;10;;;;;;;
20160326;58;90;20;;;;;;;
20160327;55;90;30;;;;;;;
20160328;80;110;50;;;;;;;
20160329;54;80;20;;;;;;;
20160330;43;70;10;;;;;;;
20160331;28;50;0;;;;;;;
20160401;22;30;10;;;;;;;
20160402;27;40;10;;;;;;;
20160403;29;50;10;;;;;;;
20160404;31;60;10;;;;;;;
20160405;30;50;10;;;;;;;
20160406;58;80;30;;;;;;;
20160407;43;70;20;;;;;;;
20160408;20;30;10;;;;;;;
20160409;32;50;10;;;;;;;
20160410;28;50;10;;;;;;;
20160411;62;90;40;;;;;;;
20160412;28;40;10;;;;;;;
20160413;22;50;10;;;;;;;
20160414;20;40;0;;;;;;;
20160415;33;70;10;;;;;;;
20160416;49;70;20;;;;;;;
20160417;22;50;10;;;;;;;
20160418;41;70;10;;;;;;;
20160419;33;50;20;;;;;;;
20160420;28;50;0;;;;;;;
20160421;37;50;20;;;;;;;
20160422;37;50;20;;;;;;;
20160423;34;70;10;;;;;;;
20160424;35;60;20;;;;;;;
20160425;35;60;20;;;;;;;
20160426;51;80;30;;;;;;;
20160427;36;60;20;;;;;;;
20160428;30;50;10;;;;;;;
20160429;51;70;30;;;;;;;
20160430;30;50;10;;;;;;;
20160501;23;40;10;;;;;;;
20160502;34;50;0;;;;;;;
20160503;33;50;0;;;;;;;
20160504;18;30;0;;;;;;;
20160505;36;60;20;;;;;;;
20160506;36;60;10;;;;;;;
20160507;36;60;10;;;;;;;
20160508;52;70;20;;;;;;;
20160509;58;80;40;;;;;;;
20160510;34;50;10;;;;;;;
20160511;36;50;20;;;;;;;
20160512;55;90;30;;;;;;;
20160513;52;70;30;;;;;;;
20160514;44;60;20;;;;;;;
20160515;35;60;10;;;;;;;
20160516;26;40;10;;;;;;;
20160517;28;50;0;;;;;;;
20160518;29;40;10;;;;;;;
20160519;22;40;0;;;;;;;
20160520;37;50;20;;;;;;;
20160521;39;60;20;;;;;;;
20160522;24;40;20;;;;;;;
20160523;42;60;30;;;;;;;
20160524;37;50;10;;;;;;;
20160525;17;30;0;;;;;;;
20160526;19;40;0;;;;;;;
20160527;33;50;20;;;;;;;
20160528;24;40;10;;;;;;;
20160529;36;50;20;;;;;;;
20160530;48;70;30;;;;;;;
20160531;29;50;0;;;;;;;
20160601;39;60;20;;;;;;;
20160602;48;60;30;;;;;;;
20160603;22;30;20;;;;;;;
20160604;23;50;10;;;;;;;
20160605;35;50;20;;;;;;;
20160606;29;40;20;;;;;;;
20160607;30;50;20;;;;;;;
20160608;29;60;10;;;;;;;
20160609;30;40;10;;;;;;;
20160610;21;30;10;;;;;;;
20160611;16;30;10;;;;;;;
20160612;13;20;0;;;;;;;
20160613;28;50;0;;;;;;;
20160614;28;50;10;;;;;;;
20160615;20;30;10;;;;;;;
20160616;20;30;10;;;;;;;
20160617;18;40;10;;;;;;;
20160618;30;50;0;;;;;;;
20160619;28;40;20;;;;;;;
20160620;45;60;20;;;;;;;
20160621;23;40;10;;;;;;;
20160622;24;30;10;;;;;;;
20160623;24;40;10;;;;;;;
20160624;25;30;0;;;;;;;
20160625;17;30;0;;;;;;;
