20170101;5;-8;19
20170102;30;-3;68
20170103;50;15;71
20170104;58;26;73
20170105;0;-59;33
20170106;-30;-65;-3
20170107;-2;-21;34
20170108;43;28;61
20170109;48;33;59
20170110;53;29;66
20170111;72;57;104
20170112;52;2;74
20170113;31;2;56
20170114;18;1;48
20170115;7;-18;48
20170116;-16;-44;12
20170117;-34;-50;13
20170118;-38;-53;-19
20170119;-20;-56;31
20170120;-3;-52;51
20170121;-2;-52;50
20170122;-17;-74;37
20170123;16;-3;31
20170124;8;0;21
20170125;-11;-43;6
20170126;-28;-53;6
20170127;8;-70;51
20170128;54;20;81
20170129;47;31;65
20170130;49;28;72
20170131;37;26;61
20170201;34;5;54
20170202;86;52;125
20170203;86;63;119
20170204;57;26;74
20170205;44;-11;77
20170206;43;-10;66
20170207;24;9;39
20170208;0;-11;9
20170209;-16;-30;-10
20170210;-23;-45;-13
20170211;-4;-17;10
20170212;7;-6;25
20170213;22;-14;71
20170214;38;-5;94
20170215;74;3;135
20170216;68;55;99
20170217;70;52;86
20170218;56;32;103
20170219;62;32;92
20170220;91;72;109
20170221;96;86;111
20170222;95;78;108
20170223;80;42;105
20170224;45;-6;87
20170225;58;18;89
20170226;87;67;106
20170227;87;43;106
20170228;47;32;65
20170301;63;32;94
20170302;66;42;82
20170303;59;12;88
20170304;92;62;132
20170305;69;38;106
20170306;60;32;95
20170307;67;45;94
20170308;59;8;106
20170309;77;7;128
20170310;65;-9;112
20170311;73;15;130
20170312;79;14;148
20170313;65;-5;137
20170314;88;32;149
20170315;90;16;139
20170316;94;11;168
20170317;83;67;103
20170318;97;74;127
20170319;113;98;127
20170320;103;88;115
20170321;75;13;98
20170322;63;-3;124
20170323;82;19;140
20170324;84;31;142
20170325;85;21;143
20170326;80;33;130
20170327;92;18;174
20170328;113;6;197
20170329;126;103;147
20170330;157;108;218
20170331;145;89;218
20170401;108;60;141
20170402;103;44;169
20170403;81;27;143
20170404;98;22;165
20170405;92;62;128
20170406;81;38;118
20170407;105;73;138
20170408;96;29;155
20170409;117;8;210
20170410;98;41;155
20170411;96;23;138
20170412;98;83;119
20170413;93;60;133
